"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2011",7.4,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2012",6.97,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2013",6.28,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2014",6.03,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2015",5.97,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2016",5.85,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2017",5.87,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2018",5.74,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2019",5.28,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2020",4.48,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2021",4.54,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2007",5.22,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2008",5.16,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2009",4.68,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2010",4.72,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2011",4.65,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2012",4.31,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2013",4.07,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2014",4.06,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2015",4.34,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2016",4.44,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2017",4.97,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2018",4.94,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2019",4.73,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2020",4.5,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2021",4.74,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2007",7.46,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2008",6.65,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2009",6.52,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2010",6.13,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2011",5.86,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2012",5.79,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2013",6.27,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2014",6.26,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2015",6.22,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2016",4.88,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2017",4.87,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2018",4.81,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2019",4.54,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2020",3.94,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2021",4.23,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2007",10.05,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2008",9.74,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2009",8.65,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2010",8.61,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2011",7.76,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2012",7.8,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2013",7.48,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.33,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2015",7.55,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2016",7.84,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.47,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.32,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2019",6.88,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2020",6.42,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2021",6.74,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2007",7.51,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2008",7.24,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2009",6.44,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2010",6.55,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2011",6.4,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2012",6.09,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2013",5.6,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2014",5.29,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2015",5.47,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2016",5.42,
