Ticker,Company,Sector,Country,beta,profit_margin,pe_ratio,ev/ebita,eps,total_esg,e_esg,s_esg,g_esg,highestControversy,Cluster
CBOE,Cboe Global Markets,Financials,USA,0.57112,0.063140005,54.641594,13.636,2.26,19.47,2.85,7.43,9.19,1,0
CBRE,CBRE Group,Real Estate,USA,1.371767,0.064720005,13.222222,12.049,6.12,6.99,1.27,2.48,3.24,1,0
CDW,CDW,Information Technology,USA,1.135416,0.043720003,23.950327,15.673,7.65,9.14,2.4,3.29,3.45,0,0
CHD,Church & Dwight,Consumer Staples,USA,0.465992,0.13878,27.95652,19.292,2.99,19.66,6.53,6.53,6.59,2,0
CI,Cigna,Health Care,USA,0.715517,0.03674,14.976745,12.0,20.21,11.65,0.02,5.99,5.65,2,0
CTAS,Cintas,Industrials,USA,1.369971,0.15351,36.165302,24.167,12.22,18.81,3.21,9.17,6.44,2,0
CSCO,Cisco,Information Technology,USA,0.965817,0.21997,17.444044,11.518,2.77,12.07,0.03,5.59,6.45,2,0
CLX,Clorox,Consumer Staples,USA,0.275502,0.05752,43.637463,23.919,3.31,21.08,6.33,9.2,5.56,2,0
CME,CME Group,Financials,USA,0.404604,0.54129004,23.886766,18.999,7.33,14.59,2.13,6.21,6.24,1,0
CMS,CMS Energy,Utilities,USA,0.342169,0.15627,24.225565,14.07,2.66,21.29,9.8,5.78,5.7,2,0
CTSH,Cognizant,Information Technology,USA,1.03767,0.12109,13.10307,8.046,4.56,14.38,1.11,7.64,5.63,2,0
COO,CooperCompanies,Health Care,USA,0.948994,0.116610005,44.195904,22.02,7.81,19.5,2.7,10.76,6.03,2,0
CPRT,Copart,Industrials,USA,1.164152,0.3001,27.852678,18.826,2.24,18.15,1.61,11.07,5.47,1,0
GLW,Corning Inc.,Information Technology,USA,1.070108,0.12719,16.15525,10.055,2.19,19.42,7.3,5.24,6.87,2,0
CCI,Crown Castle,Real Estate,USA,0.627833,0.23472999,39.064346,22.07,3.73,13.2,5.21,2.92,5.06,0,0
CSX,CSX,Industrials,USA,1.244971,0.28055,17.219252,11.341,1.87,20.09,7.45,9.19,3.44,3,0
CMI,Cummins,Industrials,USA,1.052801,0.07318,18.255987,12.793,13.36,19.36,5.8,7.5,6.06,2,0
DHI,D.R. Horton,Consumer Discretionary,USA,1.527031,0.17495,5.5702386,4.589,16.8,22.06,9.35,6.66,6.05,2,0
DHR,Danaher Corporation,Health Care,USA,0.816532,0.21648,27.837929,18.591,9.07,11.73,1.35,5.16,5.22,2,0
DE,John Deere,Industrials,USA,1.091384,0.13566,18.509981,16.251,23.04,16.64,3.19,6.9,6.55,2,0
XRAY,Dentsply Sirona,Health Care,USA,0.914196,-0.19841999,21.025158,10.84,1.59,16.03,2.21,6.86,6.96,1,0
DLR,Digital Realty,Real Estate,USA,0.512731,0.31945,20.77459,22.197,4.88,13.02,3.23,3.7,6.1,0,0
DIS,Disney,Communication Services,USA,1.232996,0.03802,50.767567,18.487,1.85,14.88,0.06,7.92,6.9,2,0
DG,Dollar General,Consumer Discretionary,USA,0.369026,0.06487,24.17899,18.222,10.28,17.11,3.27,8.56,5.28,2,0
DLTR,Dollar Tree,Consumer Discretionary,USA,0.695849,0.05841,20.743954,13.688,7.03,15.08,3.4,7.41,4.27,2,0
DXC,DXC Technology,Information Technology,USA,1.944192,0.049250003,9.175896,3.548,3.07,16.08,1.26,9.69,5.13,2,0
ETN,Eaton Corporation,Industrials,USA,1.160446,0.11366,28.213661,18.878,5.71,17.85,5.37,6.76,5.72,1,0
EBAY,eBay,Consumer Discretionary,USA,1.288803,0.00283,2.4386423,9.607,18.498,17.11,0.93,9.33,6.84,2,0
EW,Edwards Lifesciences,Health Care,USA,1.008022,0.27197,33.628822,25.07,2.29,19.39,2.86,8.85,7.69,2,0
EA,Electronic Arts,Communication Services,USA,0.827694,0.12368,38.356037,18.524,3.23,10.36,0.13,5.52,4.72,2,0
ELV,Elevance Health,Health Care,USA,0.902658,0.04054,19.04968,10.257,24.96,11.48,0.03,5.76,5.69,2,0
EQIX,Equinix,Real Estate,USA,0.602371,0.10573,87.18499,31.352,7.73,11.79,2.63,3.51,5.65,1,0
EQR,Equity Residential,Real Estate,USA,0.820718,0.42709,20.328766,18.416,2.92,11.09,2.89,3.06,5.14,1,0
ESS,Essex Property Trust,Real Estate,USA,0.759679,0.21979,38.894928,18.812,5.52,12.8,3.5,2.69,6.61,0,0
RE,Everest Re,Financials,USA,0.606681,0.04433,25.914454,14.737660130718929,13.56,18.22,1.4,6.67,10.15,1,0
ES,Eversource,Utilities,USA,0.490059,0.1185,21.343285,14.61,4.02,19.05,4.8,8.16,6.09,2,0
EXPD,Expeditors International,Industrials,USA,0.986048,0.083620004,11.141091,6.797,9.71,15.78,3.83,7.31,4.64,0,0
EXR,Extra Space Storage,Real Estate,USA,0.550749,0.49087003,20.899855,20.469,6.89,13.94,3.81,4.28,5.86,1,0
FFIV,"F5, Inc.",Information Technology,USA,1.091954,0.1195,26.825756,16.028,5.28,19.23,1.26,12.49,5.47,1,0
FDS,FactSet,Financials,USA,0.785201,0.22145,36.40504,25.68,11.11,20.3,2.84,10.88,6.59,1,0
FRT,Federal Realty,Real Estate,USA,1.208231,0.36479,21.899158,20.246,4.76,12.42,2.27,4.34,5.82,1,0
FDX,FedEx,Industrials,USA,1.325427,0.03542,14.547377,8.496,12.77,20.45,5.29,9.32,5.84,2,0
FIS,FIS,Information Technology,USA,0.806766,0.06468,45.29412,14.067,1.53,18.08,1.27,11.14,5.68,1,0
FISV,Fiserv,Information Technology,USA,0.863969,0.119849995,32.233437,13.358,3.17,18.34,1.19,10.73,6.41,2,0
FLT,Fleetcor,Information Technology,USA,1.191489,0.28514,15.679231,11.451,11.94,17.85,1.07,10.26,6.52,2,0
FTNT,Fortinet,Information Technology,USA,1.142309,0.18119,54.707863,40.031,0.89,19.1,1.23,12.19,5.68,1,0
BEN,Franklin Templeton,Financials,USA,1.277642,0.15611,11.217391,6.507,2.53,18.18,1.12,9.88,7.18,2,0
GRMN,Garmin,Consumer Discretionary,USA,0.958493,0.19542,19.626,13.645,5.0,18.54,5.4,7.86,5.28,2,0
GIS,General Mills,Consumer Staples,USA,0.332403,0.15020001,17.94572,16.162,4.79,21.51,8.45,8.94,4.13,2,0
GPC,Genuine Parts Company,Consumer Discretionary,USA,0.982908,0.05552,20.533653,12.942,8.32,12.64,3.57,5.29,3.78,2,0
HIG,Hartford (The),Financials,USA,0.904429,0.088319995,13.769633,8.091,5.73,16.17,1.5,5.99,8.68,1,0
HAS,Hasbro,Consumer Discretionary,USA,0.738751,0.06696,21.405941,11.977,3.03,9.36,0.05,4.97,4.34,2,0
PEAK,Healthpeak,Real Estate,USA,0.861178,0.25876,27.567009,20.34,0.97,9.73,3.01,2.22,4.49,0,0
HSIC,Henry Schein,Health Care,USA,0.778514,0.050619997,17.97577,12.428,4.54,13.48,2.14,5.59,5.76,2,0
HPE,Hewlett Packard Enterprise,Information Technology,USA,1.218346,0.03046,25.924242,6.601,0.66,11.94,0.76,4.92,6.25,2,0
HLT,Hilton Worldwide,Consumer Discretionary,USA,1.224276,0.31212,33.919273,20.18,3.84,17.53,7.0,6.67,3.87,2,0
HD,Home Depot (The),Consumer Discretionary,USA,0.948378,0.10868,19.139843,13.496,16.59,12.54,3.4,5.51,3.63,2,0
HST,Host Hotels & Resorts,Real Estate,USA,1.283571,0.17371,14.309734,11.515,1.13,13.78,3.25,5.64,4.9,1,0
HPQ,HP Inc.,Information Technology,USA,1.019183,0.05085,9.298361,6.149,3.05,10.93,0.11,5.0,5.82,2,0
IBM,IBM,Information Technology,USA,0.88106,0.02085,23.599934,14.426,6.089,14.77,0.47,6.67,7.64,2,0
IDXX,Idexx Laboratories,Health Care,USA,1.144053,0.2005,57.55398,37.047,7.78,20.71,3.6,7.12,9.98,1,0
ITW,Illinois Tool Works,Industrials,USA,1.126264,0.17493999,25.907534,18.735,8.76,19.6,4.31,9.07,6.22,2,0
ILMN,Illumina,Health Care,USA,1.131845,-0.88362,45.466213,58.589,4.44,11.2,1.14,3.94,6.12,3,0
INTC,Intel,Information Technology,USA,0.764562,0.19127001,8.894736,6.27,3.23,17.26,4.36,5.94,6.96,3,0
ICE,Intercontinental Exchange,Financials,USA,0.919776,0.34601003,23.207966,16.215,4.52,16.34,1.68,7.98,6.68,2,0
IPG,The Interpublic Group of Companies,Communication Services,USA,1.076037,0.10571,13.945313,9.687,2.56,15.15,0.12,9.32,5.72,1,0
IFF,International Flavors & Fragrances,Materials,USA,1.068712,-0.13906999,43.311024,14.86,2.54,22.31,10.39,5.42,6.5,2,0
INTU,Intuit,Information Technology,USA,1.14754,0.14103,58.563637,35.567,6.6,16.2,0.97,10.52,4.7,2,0
IQV,IQVIA,Health Care,USA,1.382978,0.08262,33.39187,18.074,6.15,19.24,1.33,10.89,7.01,2,0
IRM,Iron Mountain,Real Estate,USA,0.929543,0.09955,29.817646,16.056,1.7,14.58,5.0,3.74,5.84,2,0
JBHT,J.B. Hunt,Industrials,USA,1.126613,0.068909995,18.60888,9.857,9.46,14.32,3.0,6.01,5.32,1,0
JKHY,Jack Henry & Associates,Information Technology,USA,0.641785,0.18515,35.167652,23.733,5.07,15.45,0.78,9.45,5.22,0,0
JCI,Johnson Controls,Industrials,USA,1.23753,0.060560003,30.6621,16.924,2.19,14.7,4.89,4.55,5.25,3,0
JNPR,Juniper Networks,Information Technology,USA,0.948726,0.082200006,25.157482,15.305,1.27,16.6,1.66,8.35,6.59,2,0
KEYS,Keysight,Information Technology,USA,1.047785,0.20738001,28.71031,18.82,6.11,9.42,2.03,2.24,5.15,1,0
KMB,Kimberly-Clark,Consumer Staples,USA,0.437391,0.08842,26.321291,16.442,5.26,22.05,8.05,7.77,6.23,2,0
KIM,Kimco Realty,Real Estate,USA,1.464248,0.15033,74.24139,18.643,0.29,12.14,3.7,2.91,5.53,0,0
KMI,Kinder Morgan,Energy,USA,0.949424,0.13205,16.738739,12.267,1.11,18.55,7.75,7.32,3.48,2,0
KLAC,KLA Corporation,Information Technology,USA,1.3767,0.33285,17.96611,13.264,22.13,16.91,7.13,4.76,5.02,0,0
KR,Kroger,Consumer Staples,USA,0.500523,0.0161,14.429022,6.861,3.17,21.39,6.51,9.43,5.46,3,0
LRCX,Lam Research,Information Technology,USA,1.445762,0.26957,12.769429,9.525,34.87,13.66,4.5,3.97,5.19,1,0
LDOS,Leidos,Industrials,USA,0.811998,0.048060004,21.418365,13.289,4.9,11.5,1.29,4.99,5.21,1,0
LNC,Lincoln Financial,Financials,USA,1.760725,-0.104890004,9.879257,-5.524,3.23,16.91,1.85,6.12,8.95,2,0
LKQ,LKQ Corporation,Consumer Discretionary,USA,1.364143,0.091759995,13.049529,10.768,4.24,12.87,4.08,4.97,3.81,2,0
LOW,Lowe's,Consumer Discretionary,USA,1.129054,0.06968,19.41739,10.72,10.35,11.49,3.7,4.63,3.15,2,0
MCK,McKesson,Health Care,USA,0.618765,0.0075499997,27.282686,15.237,14.15,15.17,2.29,7.37,5.52,3,0
MET,MetLife,Financials,USA,1.100104,0.03259,27.35316,33.901,2.69,14.95,0.73,4.82,9.41,2,0
MTD,Mettler Toledo,Health Care,USA,1.189745,0.21479,40.310623,29.85,35.96,13.32,1.0,7.41,4.91,0,0
MU,Micron Technology,Information Technology,USA,1.301011,0.22779,10.265822,4.229,5.53,17.44,6.6,5.07,5.77,2,0
MSFT,Microsoft,Information Technology,USA,0.926403,0.34366,24.212055,16.462,9.29,15.24,1.53,8.39,5.33,3,0
MAA,Mid-America Apartment Communities,Real Estate,USA,0.762818,0.32189,29.208487,20.424,5.42,14.51,5.5,3.74,5.27,1,0
MHK,Mohawk Industries,Consumer Discretionary,USA,1.245901,0.015269999,40.36396,5.408,2.83,14.05,5.61,4.19,4.25,2,0
TAP,Molson Coors Beverage Company,Consumer Staples,USA,0.884897,0.04632,23.339449,10.555,2.18,21.47,6.96,8.67,5.83,2,0
MCO,Moody's Corporation,Financials,USA,1.23474,0.272,34.86161,24.067,8.31,10.59,0.02,5.23,5.34,2,0
MSI,Motorola Solutions,Information Technology,USA,0.93024,0.13467,38.8,22.068,6.8,13.75,2.11,6.46,5.18,3,0
MSCI,MSCI,Financials,USA,1.099755,0.38226002,45.22758,31.583,10.37,12.41,1.61,5.41,5.39,1,0
NDAQ,"Nasdaq, Inc.",Financials,USA,0.975584,0.18704,27.039474,17.955,2.28,11.93,1.81,4.56,5.56,2,0
NTAP,NetApp,Information Technology,USA,1.154516,0.22523001,9.571428,9.411,6.65,15.51,2.58,6.93,5.99,1,0
NFLX,Netflix,Communication Services,USA,1.173351,0.16027,26.901108,24.6,11.73,16.25,0.09,6.83,9.34,2,0
NWL,Newell Brands,Consumer Discretionary,USA,0.866759,0.05662,10.666666,9.088,1.35,14.35,6.22,4.03,4.1,2,0
NEM,Newmont,Materials,USA,0.268224,0.082770005,43.188522,11.771,1.22,20.33,6.92,8.24,5.16,3,0
NWSA,News Corp (Class A),Communication Services,USA,1.286013,0.04507,24.050632,10.396,0.79,11.24,0.02,4.56,6.67,2,0
NKE,"Nike, Inc.",Consumer Discretionary,USA,1.086501,0.11472999,35.177967,26.463,3.54,16.95,3.04,6.99,6.92,3,0
NVDA,Nvidia,Information Technology,USA,1.722009,0.20853001,39.84714,40.11,3.729,13.45,2.26,5.16,6.03,2,0
NXPI,NXP Semiconductors,Information Technology,USA,1.48692,0.20622998,16.389118,9.704,9.74,21.6,8.67,7.39,5.55,1,0
ORLY,O'Reilly Auto Parts,Consumer Discretionary,USA,0.948378,0.15388,26.271282,17.589,32.07,13.03,0.16,8.89,3.98,1,0
OMC,Omnicom Group,Communication Services,USA,0.858039,0.09126,13.839229,9.041,6.22,18.18,0.07,10.52,7.59,1,0
ORCL,Oracle Corporation,Information Technology,USA,1.0,0.19094,26.276075,16.97,3.26,13.92,0.52,7.71,5.69,2,0
PKG,Packaging Corporation of America,Materials,USA,0.880711,0.121120006,12.039163,7.006,10.98,16.66,11.55,1.35,3.76,1,0
PAYX,Paychex,Information Technology,USA,0.995465,0.30448,28.999998,19.349,4.05,17.59,1.17,9.81,6.61,0,0
PYPL,PayPal,Information Technology,USA,1.278688,0.08498,39.626945,18.331,1.93,15.99,0.71,9.92,5.36,2,0
PEP,PepsiCo,Consumer Staples,USA,0.595395,0.11614,25.908442,18.617,6.99,15.94,4.91,6.55,4.48,3,0
PKI,PerkinElmer,Health Care,USA,1.114056,0.13057,25.629559,13.571,5.21,18.36,1.24,10.77,6.35,2,0
PPG,PPG Industries,Materials,USA,1.186955,0.06082,28.876406,16.449,4.45,24.33,9.32,7.69,7.32,1,0
PFG,Principal Financial Group,Financials,USA,1.303104,0.28671,4.2746825,2.976,20.46,17.22,0.68,6.65,9.88,1,0
PLD,Prologis,Real Estate,USA,0.982908,0.68083,21.64193,30.37,5.39,8.51,2.5,1.74,4.27,1,0
PRU,Prudential Financial,Financials,USA,1.419602,0.0053399997,129.5,-246.519,0.78,16.21,1.03,6.57,8.6,1,0
PTC,PTC,Information Technology,USA,1.136728,0.16194001,45.95131,27.814,2.67,19.11,1.24,12.72,5.15,0,0
PSA,Public Storage,Real Estate,USA,0.416114,1.11379,11.245835,19.595,24.61,12.3,4.51,2.55,5.24,1,0
PHM,PulteGroup,Consumer Discretionary,USA,1.282874,0.15557,4.9295917,4.169,9.8,20.87,8.73,7.28,4.86,2,0
QCOM,Qualcomm,Information Technology,USA,1.250435,0.29267,10.108676,7.514,11.41,16.59,4.83,4.05,7.71,4,0
RL,Ralph Lauren Corporation,Consumer Discretionary,USA,1.366934,0.080520004,15.886301,9.223,7.3,13.18,1.09,6.8,5.28,2,0
O,Realty Income,Real Estate,USA,0.793512,0.20613001,64.72727,19.805,0.99,14.25,4.04,5.46,4.75,0,0
REG,Regency Centers,Real Estate,USA,1.162888,0.35986,23.996225,17.656,2.65,10.88,3.56,2.86,4.45,0,0
RF,Regions Financial Corporation,Financials,USA,1.223229,0.30374,11.139303,14.737660130718929,2.01,15.6,1.6,6.5,7.51,2,0
RHI,Robert Half,Industrials,USA,1.289152,0.09315,12.378247,7.208,6.16,9.26,0.07,5.66,3.52,0,0
ROK,Rockwell Automation,Industrials,USA,1.460062,0.120120004,33.565872,21.584,7.97,19.68,6.31,7.3,6.08,1,0
ROL,"Rollins, Inc.",Industrials,USA,0.647017,0.13121,52.185715,32.609,0.7,20.25,1.76,11.15,7.34,1,0
ROP,Roper Technologies,Information Technology,USA,1.052668,0.47285998,43.754436,21.713,10.14,22.9,4.62,12.71,5.56,0,0
ROST,Ross Stores,Consumer Discretionary,USA,0.998256,0.07739,29.435835,18.416,4.13,15.93,1.8,8.45,5.68,2,0
SPGI,S&P Global,Financials,USA,1.061039,0.33778998,29.729916,24.825,11.7,14.31,0.0,6.16,8.15,1,0
SBAC,SBA Communications,Real Estate,USA,0.4782,0.1601,78.55795,27.659,3.71,11.58,3.11,3.23,5.23,0,0
SLB,Schlumberger,Energy,USA,1.808161,0.11264,26.328503,15.672,2.07,21.93,7.41,8.76,5.76,1,0
STX,Seagate Technology,Information Technology,USA,1.016742,0.10887,10.710729,8.392,5.22,10.66,1.59,3.8,5.26,1,0
SEE,Sealed Air,Materials,USA,1.238576,0.10025,13.807896,9.081,3.8,20.8,15.83,1.52,3.46,2,0
SPG,Simon Property Group,Real Estate,USA,1.540634,0.37752,19.811666,17.225,6.0,14.21,3.83,3.99,6.38,1,0
SYF,Synchrony Financial,Financials,USA,1.619462,0.37919998,5.1572323,14.737660130718929,6.36,17.22,0.13,9.89,7.19,2,0
SNPS,Synopsys,Information Technology,USA,1.198116,0.19376,51.951378,35.31,6.17,13.45,3.18,6.2,4.07,0,0
SYY,Sysco,Consumer Staples,USA,1.107429,0.020280002,27.911348,14.572,2.82,12.06,2.79,4.7,4.57,2,0
TROW,T. Rowe Price,Financials,USA,1.302406,0.29346,12.877294,7.043,8.72,17.05,2.36,9.3,5.39,1,0
TPR,"Tapestry, Inc.",Consumer Discretionary,USA,1.386466,0.1229,12.990506,9.284,3.16,13.51,1.29,7.11,5.11,2,0
TGT,Target Corporation,Consumer Discretionary,USA,1.009417,0.03171,21.353333,11.715,7.5,14.72,2.04,7.63,5.06,3,0
TEL,TE Connectivity,Information Technology,USA,1.301709,0.14913,16.117805,10.81,7.47,15.93,6.42,4.87,4.64,0,0
TER,Teradyne,Information Technology,USA,1.521799,0.23191999,20.54955,12.281,4.44,15.86,6.27,4.95,4.64,0,0
TXN,Texas Instruments,Information Technology,USA,1.012556,0.44205,18.360588,12.915,9.54,19.93,8.84,5.06,6.03,2,0
TMO,Thermo Fisher Scientific,Health Care,USA,0.801185,0.15921,30.073072,19.754,17.79,13.52,1.47,5.6,6.46,3,0
TJX,TJX Companies,Consumer Discretionary,USA,0.895361,0.069,28.923079,18.821,2.86,14.43,1.89,7.42,5.12,2,0
TSCO,Tractor Supply,Consumer Discretionary,USA,0.885245,0.07688,24.091305,16.009,9.2,13.76,3.04,6.58,4.14,2,0
TT,Trane Technologies,Industrials,USA,1.214161,0.105579995,25.463623,17.634,7.01,16.12,7.11,3.84,5.16,2,0
TRMB,Trimble Inc.,Information Technology,USA,1.568189,0.12798001,27.393618,18.085,1.88,12.98,3.17,3.72,6.09,0,0
UDR,"UDR, Inc.",Real Estate,USA,0.737007,0.10982,77.4,36.235,0.5,12.31,3.2,3.83,5.28,0,0
ULTA,Ulta Beauty,Consumer Discretionary,USA,1.319846,0.12264,21.157093,14.674,22.98,15.46,3.83,7.23,4.4,2,0
UPS,United Parcel Service,Industrials,USA,1.119986,0.110690005,14.024294,9.648,12.76,19.5,4.58,9.55,5.38,2,0
URI,United Rentals,Industrials,USA,1.828043,0.17506,13.970381,10.656,27.01,18.45,5.89,6.57,5.99,1,0
VRSN,Verisign,Information Technology,USA,0.968957,0.59058,28.086184,22.762,7.31,21.35,4.74,10.77,5.84,1,0
VZ,Verizon,Communication Services,USA,0.33903,0.14222,9.171739,8.125,4.6,18.48,3.88,8.92,5.69,3,0
VFC,VF Corporation,Consumer Discretionary,USA,1.438437,0.03598,27.351852,10.482,1.08,12.84,0.94,6.83,5.07,2,0
WAB,Wabtec,Industrials,USA,1.486222,0.08181,28.205557,14.8,3.6,23.25,4.52,11.69,7.04,1,0
WBA,Walgreens Boots Alliance,Consumer Staples,USA,0.742588,-0.02242,7.27833,16.219,5.03,18.29,2.03,11.52,4.73,3,0
WM,Waste Management,Industrials,USA,0.74189,0.115480006,29.644981,14.431,5.38,16.73,8.22,5.24,3.28,2,0
WAT,Waters Corporation,Health Care,USA,0.895709,0.23626,28.363556,21.878,11.36,17.01,1.37,9.4,6.24,0,0
WELL,Welltower,Real Estate,USA,1.042901,0.03603,136.82353,22.84,0.51,12.01,3.87,3.22,4.92,1,0
WDC,Western Digital,Information Technology,USA,1.546215,0.052470002,12.029126,6.026,3.09,11.07,1.48,3.91,5.69,1,0
WY,Weyerhaeuser,Real Estate,USA,1.475061,0.21624,10.330066,6.641,3.06,17.56,10.48,3.29,3.78,2,0
WHR,Whirlpool Corporation,Consumer Discretionary,USA,1.494942,0.01858,23.671875,5.737,6.4,15.8,4.76,7.08,3.96,2,0
GWW,W. W. Grainger,Industrials,USA,1.210324,0.097799994,19.782747,13.229,27.94,14.6,3.41,5.48,5.72,1,0
XYL,Xylem Inc.,Industrials,USA,1.092082,0.05975,63.22159,25.322,1.76,15.95,3.3,7.58,5.08,1,0
YUM,Yum! Brands,Consumer Discretionary,USA,0.997907,0.19127001,29.678814,21.344,4.39,20.55,4.46,11.65,4.44,2,0
ZTS,Zoetis,Health Care,USA,0.718869,0.25815,33.70776,22.136,4.38,18.47,1.38,8.15,8.95,1,0
2318.HK,Ping An Insurance,Financials,Hong Kong,0.94549,0.07694,9.147727,8.263,6.16,18.25,1.77,7.46,9.02,2,0
0003.HK,Hong Kong and China Gas Company Limited,Utilities,Hong Kong,0.537647,0.072459996,38.15,17.276,0.2,21.19,6.6,7.18,7.41,2,0
0012.HK,Henderson Land Development Company Limited,Properties,Hong Kong,1.077254,0.47139,11.814346,32.198,2.37,19.43,5.08,5.69,8.66,0,0
0017.HK,New World Development Company Limited,Properties,Hong Kong,0.793333,0.05316,46.0,18.267,0.5,14.32,2.59,4.48,7.25,2,0
0101.HK,Sino Land Company Limited,Properties,Hong Kong,0.848627,0.33571,19.518988,17.367,0.79,15.38,2.6,5.17,7.61,0,0
0688.HK,Hang Lung Properties Limited,Properties,Hong Kong,0.259607,0.15167,5.991957,9.709,3.73,15.95,3.51,5.49,6.95,0,0
0823.HK,China Overseas Land & Investment Limited,Properties,Hong Kong,0.678823,1.20493,8.557971,21.217,6.9,10.61,2.26,3.01,5.34,0,0
0960.HK,The Link REIT,Properties,Hong Kong,1.014901,0.09285,6.0572686,9.653,4.54,15.8,4.41,4.0,7.39,0,0
